timestamp,age_group,city,provider,plan_type,network_type,monthly_bill_range,monthly_data_range,has_ott,ott_services_included,switched_in_3_years,switch_reason,reliability_streaming,reliability_video_calls,reliability_gaming,reliability_browsing,importance_speed,importance_cost,importance_customer_service,importance_ott,importance_roaming,main_problems,call_drops_weekly,customer_support_wait_time,support_wait_time_seconds,considering_switch_6mo,Would you recommend your current provider to others?
10/4/2025 18:45:10,25–34,Junagadh,Jio,Prepaid (monthly recharge),5G,200–499,21–50 GB,No,Not Applicable,No,Not Applicable,Reliable,Reliable,Reliable,Reliable,Extremely Important,Extremely Important,Extremely Important,Not Important,Slightly Important,"Poor network coverage, Low data speed",More than 15,0:15:00,21600:00:00,No,Yes
10/11/2025 21:09:24,18–24,Ahmedabad,Airtel,Postpaid,5G,200–499,21–50 GB,Yes,"Netflix, Amazon Prime, Disney+ Hotstar",No,Not Applicable,Reliable,Unreliable,Neutral,Neutral,Very Important,Moderately Important,Moderately Important,Slightly Important,Slightly Important,Poor network coverage,4-7,0:10:00,14400:00:00,Not sure,Yes
10/11/2025 21:41:59,25–34,Ahmedabad,Airtel,Prepaid (monthly recharge),4G,200–499,5–20 GB,No,Not Applicable,Yes,Better network coverage/speed,Very Reliable,Very Reliable,Very Reliable,Very Reliable,Very Important,Extremely Important,Moderately Important,Not Important,Not Important,High cost / frequent price hikes,Not Stated,0:08:00,11520:00:00,No,Yes
10/11/2025 20:50:44,18–24,Ahmedabad,Jio,Prepaid (monthly recharge),5G,200–499,50+ GB,Yes,"Netflix, Amazon Prime, Disney+ Hotstar",No,Not Applicable,Very Reliable,Very Reliable,Very Reliable,Very Reliable,Extremely Important,Extremely Important,Extremely Important,Extremely Important,Extremely Important,No Problems Stated,None,0:05:00,7200:00:00,No,Yes
10/5/2025 20:19:56,18–24,Ahmedabad,Vi,Prepaid (monthly recharge),4G,"800–1,499",50+ GB,No,Not Applicable,Yes,"Better pricing from competitor, Better network coverage/speed",Neutral,Neutral,Reliable,Reliable,Very Important,Extremely Important,Moderately Important,Not Important,Not Important,"Poor network coverage, High cost / frequent price hikes, Low data speed",8-15,0:05:00,7200:00:00,Yes,No
10/5/2025 15:26:11,18–24,Gandhidham,Jio,Yearly/long-term plan,5G,200–499,21–50 GB,Yes,"Disney+ Hotstar, Zee5,",No,Not Applicable,Very Reliable,Very Reliable,Very Reliable,Very Reliable,Extremely Important,Extremely Important,Extremely Important,Extremely Important,Extremely Important,OTT benefits not attractive,None,0:05:00,7200:00:00,Not sure,Yes
10/6/2025 14:00:59,18–24,Gandhidham,Jio,Prepaid (monthly recharge),5G,500–799,21–50 GB,Yes,Disney+ Hotstar,Yes,"Better pricing from competitor, Better network coverage/speed",Reliable,Reliable,Reliable,Reliable,Extremely Important,Very Important,Extremely Important,Moderately Important,Slightly Important,"High cost / frequent price hikes, Low data speed, OTT benefits not attractive",1-3,0:05:00,7200:00:00,No,Yes
10/5/2025 16:36:14,18–24,Jamnagar,Jio,Prepaid (monthly recharge),5G,"800–1,499",50+ GB,Yes,Zee5,No,Not switched,Neutral,Neutral,Neutral,Neutral,Extremely Important,Extremely Important,Extremely Important,Extremely Important,Extremely Important,OTT benefits not attractive,1-3,0:05:00,7200:00:00,No,No
10/6/2025 13:51:47,18–24,Ahmedabad,Jio,Yearly/long-term plan,5G,200–499,50+ GB,Yes,Disney+ Hotstar,No,Not Applicable,Reliable,Neutral,Neutral,Reliable,Extremely Important,Very Important,Moderately Important,Not Important,Slightly Important,Sometimes data speed is show good still take buffer to load,1-3,0:02:00,2880:00:00,Not sure,Yes
10/11/2025 19:31:06,45–54,Bhanavad,Jio,Yearly/long-term plan,5G,200–499,21–50 GB,No,Not Applicable,No,Not Applicable,Reliable,Reliable,Unreliable,Neutral,Very Important,Very Important,Moderately Important,Not Important,Not Important,Low data speed,None,0:02:00,2880:00:00,No,Yes
10/12/2025 11:17:25,25–34,Ahmedabad,Jio,Prepaid (monthly recharge),5G,"800–1,499",5–20 GB,Yes,Disney+ Hotstar,No,Better network coverage/speed,Very Reliable,Very Unreliable,Very Unreliable,Very Unreliable,Not Important,Not Important,Not Important,Not Important,Not Important,Poor network coverage,1-3,0:01:10,1680:00:00,Not sure,Yes
10/6/2025 11:56:21,18–24,Gandhidham,Airtel,Prepaid (monthly recharge),5G,500–799,50+ GB,No,Not Applicable,No,Not Applicable,Reliable,Reliable,Reliable,Reliable,Extremely Important,Moderately Important,Extremely Important,Moderately Important,Slightly Important,High cost / frequent price hikes,None,0:01:00,1440:00:00,Not sure,Yes
10/5/2025 1:58:13,18–24,Not Stated,Airtel,Prepaid (monthly recharge),4G,<200,21–50 GB,No,Not Applicable,No,Not Applicable,Reliable,Reliable,Reliable,Reliable,Slightly Important,Not Important,Slightly Important,Not Important,Slightly Important,No Problems Stated,Not Stated,0:01:00,1440:00:00,No,Yes
10/6/2025 23:22:24,18–24,Rajkot,Airtel,Prepaid (monthly recharge),5G,200–499,21–50 GB,No,Not Applicable,No,Not Applicable,Unreliable,Neutral,Neutral,Neutral,Very Important,Moderately Important,Very Important,Slightly Important,Slightly Important,"Poor network coverage, Low data speed",More than 15,0:01:00,1440:00:00,No,Yes
10/4/2025 18:39:26,18–24,Rajkot,Jio,Prepaid (monthly recharge),5G,"800–1,499",50+ GB,Yes,Disney+ Hotstar,No,Not Applicable,Neutral,Reliable,Neutral,Neutral,Very Important,Slightly Important,Very Important,Slightly Important,Not Important,No Problems Stated,Not Stated,0:01:00,1440:00:00,Not sure,Yes
10/4/2025 18:20:31,18–24,Jamnagar,Jio,Prepaid (monthly recharge),5G,200–499,21–50 GB,Yes,Disney+ Hotstar,No,Not Applicable,Very Reliable,Very Reliable,Very Reliable,Very Reliable,Extremely Important,Extremely Important,Extremely Important,Extremely Important,Extremely Important,No Problems Stated,1-3,0:00:10,240:00:00,No,Yes
10/4/2025 18:46:48,25–34,Rajkot,Jio,Prepaid (monthly recharge),5G,200–499,21–50 GB,Yes,"Netflix, Disney+ Hotstar",No,Not Applicable,Very Reliable,Very Reliable,Very Reliable,Reliable,Extremely Important,Extremely Important,Extremely Important,Extremely Important,Extremely Important,Poor network coverage,1-3,0:00:05,120:00:00,No,Yes
10/11/2025 23:53:01,25–34,Ahmedabad,Vi,Yearly/long-term plan,4G,200–499,5–20 GB,No,Not Applicable,No,Not Applicable,Very Reliable,Very Reliable,Very Reliable,Very Reliable,Extremely Important,Extremely Important,Extremely Important,Extremely Important,Extremely Important,No Problems Stated,None,0:00:00,0:00:00,No,Yes
10/11/2025 21:43:28,18–24,Rajkot,Jio,Prepaid (monthly recharge),5G,500–799,21–50 GB,Yes,Disney+ Hotstar,Yes,"Better pricing from competitor, Better network coverage/speed",Neutral,Neutral,Neutral,Neutral,Moderately Important,Moderately Important,Moderately Important,Moderately Important,Moderately Important,"Poor network coverage, Low data speed",4-7,,,No,Yes
